year,jurisdiction,average_scale_score,race_ethnicity_used_to_report_trends_school_reported
2019,Fresno,‡,American Indian/Alaska Native
2019,Fresno,‡,Two or more races
2019,Guilford County (NC),236,White
2019,Guilford County (NC),206,Black
2019,Guilford County (NC),214,Hispanic
2019,Guilford County (NC),227,Asian/Pacific Islander
2019,Guilford County (NC),‡,American Indian/Alaska Native
2019,Guilford County (NC),‡,Two or more races
2019,Hillsborough County (FL),236,White
2019,Hillsborough County (FL),207,Black
2019,Hillsborough County (FL),220,Hispanic
2019,Hillsborough County (FL),‡,Asian/Pacific Islander
2019,Hillsborough County (FL),‡,American Indian/Alaska Native
2019,Hillsborough County (FL),232,Two or more races
2019,Houston,233,White
2019,Houston,194,Black
2019,Houston,202,Hispanic
2019,Houston,‡,Asian/Pacific Islander
2019,Houston,‡,American Indian/Alaska Native
2019,Houston,‡,Two or more races
2019,Jefferson County (KY),228,White
2019,Jefferson County (KY),196,Black
2019,Jefferson County (KY),202,Hispanic
2019,Jefferson County (KY),‡,Asian/Pacific Islander
2019,Jefferson County (KY),‡,American Indian/Alaska Native
2019,Jefferson County (KY),‡,Two or more races
2019,Los Angeles,225,White
2019,Los Angeles,189,Black
2019,Los Angeles,201,Hispanic
2019,Los Angeles,238,Asian/Pacific Islander
2019,Los Angeles,‡,American Indian/Alaska Native
2019,Los Angeles,‡,Two or more races
2019,Miami-Dade,239,White
2019,Miami-Dade,212,Black
2019,Miami-Dade,226,Hispanic
2019,Miami-Dade,‡,Asian/Pacific Islander
2019,Miami-Dade,‡,American Indian/Alaska Native
2019,Miami-Dade,‡,Two or more races
2019,Milwaukee,221,White
2019,Milwaukee,180,Black
2019,Milwaukee,188,Hispanic
2019,Milwaukee,208,Asian/Pacific Islander
2019,Milwaukee,‡,American Indian/Alaska Native
2019,Milwaukee,‡,Two or more races
2019,New York City,226,White
2019,New York City,203,Black
2019,New York City,203,Hispanic
2019,New York City,230,Asian/Pacific Islander
2019,New York City,‡,American Indian/Alaska Native
2019,New York City,‡,Two or more races
2019,Philadelphia,225,White
2019,Philadelphia,190,Black
2019,Philadelphia,185,Hispanic
2019,Philadelphia,225,Asian/Pacific Islander
2019,Philadelphia,‡,American Indian/Alaska Native
2019,Philadelphia,210,Two or more races
2019,San Diego,238,White
2019,San Diego,205,Black
2019,San Diego,212,Hispanic
2019,San Diego,234,Asian/Pacific Islander
2019,San Diego,‡,American Indian/Alaska Native
2019,San Diego,236,Two or more races
2019,Shelby County (TN),225,White
2019,Shelby County (TN),202,Black
2019,Shelby County (TN),205,Hispanic
2019,Shelby County (TN),‡,Asian/Pacific Islander
2019,Shelby County (TN),‡,American Indian/Alaska Native
2019,Shelby County (TN),‡,Two or more races
